filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0015_L.wav,SUR,1.17,SUR,2.85,0.88,0.77,0.74,<笑>,0.55,0.61,0.6,2.85
0034_L.wav,FEA,2.32,JOY,3.91,0.26,0.11,0.18,(F あー)本当本当,0.49,0.61,0.48,0.59
0047_L.wav,FEA,4.4,SUR,2.53,0.86,0.8,0.74,<笑>,0.5,0.6,0.53,1.87
0054_L.wav,ACC,1.19,SUR,5.58,0.96,0.91,0.85,<笑>,0.56,0.68,0.63,0.72
0098_L.wav,ANT,0.9,FEA,2.91,0.3,0.01,0.13,と思ったんですけど,0.01,0.56,0.41,0.39
0116_L.wav,SUR,0.4,SUR,3.54,0.94,0.84,0.81,<笑>,0.58,0.58,0.52,0.7
0122_L.wav,SAD,3.01,FEA,2.32,0.37,0.18,0.23,(F へー),0.61,0.69,0.58,0.33
0135_L.wav,SAD,4.86,ACC,1.84,0.35,0.02,0.15,そうなんだ,0.63,0.83,0.66,0.45
0137_L.wav,SUR,1.31,SUR,1.64,0.61,0.64,0.57,(F え),0.26,0.62,0.42,0.2
0211_L.wav,SAD,3.23,FEA,3.68,0.52,0.3,0.34,おかしい面白いですね,0.42,0.56,0.45,0.08
0256_L.wav,JOY,1.18,SUR,4.12,0.9,0.8,0.76,<笑>,0.44,0.65,0.51,4.06
0263_L.wav,FEA,0.42,FEA,1.37,0.33,0.2,0.23,送ってたんだ,0.56,0.63,0.54,1.64
0301_L.wav,FEA,3.15,FEA,2.55,0.28,-0.05,0.09,(F うーん)凄い,0.07,0.64,0.51,0.42
0334_L.wav,SUR,1.6,SUR,4.35,0.93,0.83,0.81,<笑>,0.32,0.56,0.47,2.64
0349_L.wav,SAD,1.84,ANG,1.0,0.57,0.62,0.62,ねそれに自分の御両親が近くにいないから,0.28,0.71,0.53,3.44
0357_L.wav,ACC,4.61,ACC,4.52,0.36,0.0,0.09,(F うーん),0.05,0.56,0.46,4.15
0387_L.wav,SAD,2.62,ACC,1.63,0.59,0.61,0.6,そうかあたしももう異常に子供欲しくなりましたよ,0.14,0.58,0.47,0.15
0410_L.wav,ANG,3.03,FEA,1.62,0.68,0.73,0.7,何か今までのこう経緯が全部,0.4,0.56,0.49,3.25
0435_L.wav,FEA,3.2,SUR,3.69,0.75,0.66,0.63,<笑>,0.41,0.6,0.51,1.74
0447_L.wav,FEA,3.84,SAD,0.71,0.39,0.09,0.22,なるほどね,0.54,0.73,0.55,2.0
0500_L.wav,SUR,1.78,SUR,1.98,0.88,0.79,0.72,<笑>,0.56,0.85,0.72,1.15
0504_L.wav,DIS,4.0,DIS,2.11,0.32,0.04,0.16,そうなんだ,0.58,0.67,0.52,0.15
