filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0041_R.wav,ANT,2.38,ACC,1.98,0.54,0.55,0.53,(F うーん)初め何か人生を振り返って印象に残ったことって言われてそんな,0.21,0.49,0.43,1.08
0059_R.wav,SAD,3.05,ACC,1.9,0.41,0.13,0.22,そうですねそんな感じのことです,0.16,0.43,0.23,0.32
0113_R.wav,ANT,2.02,ACC,2.17,0.58,0.29,0.37,そういうような感じのこと,0.12,0.29,0.19,0.46
0115_R.wav,ACC,-1.16,ACC,2.75,0.86,0.71,0.69,何が来たのとかそういう,0.28,0.42,0.32,0.58
0136_R.wav,SAD,3.04,ACC,4.47,0.36,0.11,0.19,(F うーん)そうですね,0.11,0.41,0.24,1.8
0140_R.wav,ANT,1.99,ACC,1.2,0.64,0.6,0.55,(F いや)そうでもないです全く,0.28,0.49,0.36,3.27
0142_R.wav,ACC,2.31,ACC,1.81,0.12,0.25,0.2,<FV>(F その),0.52,0.35,0.35,0.61
0147_R.wav,DIS,1.03,DIS,1.07,0.46,0.42,0.46,(F ん)(M ま)で言うと(M ままま)とか(M ままま)とか(M ままま)とか色々ありますけども,0.16,0.33,0.31,1.51
0153_R.wav,ANT,1.44,ANT,-0.1,0.5,0.65,0.63,では,0.15,0.34,0.27,1.59
0160_R.wav,FEA,-0.13,SUR,2.26,0.86,0.73,0.7,<笑>,0.34,0.34,0.41,1.12
0167_R.wav,ACC,3.39,ACC,1.93,0.54,0.44,0.47,そうなんですだから(F あーのー),0.35,0.31,0.25,1.15
0175_R.wav,ACC,2.22,SAD,2.1,0.41,0.17,0.26,(F うーん),0.2,0.39,0.31,1.76
0176_R.wav,SAD,1.19,ANT,0.67,0.65,0.63,0.62,けどその間違えるパターンがまた外国人のパターンとおんなじな場合があるからまたそれがそれで面白いんですけどね,0.24,0.46,0.36,1.43
0180_R.wav,ACC,2.82,ACC,1.83,0.35,0.2,0.24,(F うーん),0.3,0.43,0.38,1.16
0183_R.wav,DIS,1.51,DIS,0.36,0.36,0.59,0.53,<息>,0.02,0.47,0.35,1.06
0184_R.wav,FEA,1.38,FEA,0.14,0.46,0.3,0.36,(F え)私よく間違えるパターンの単語,0.1,0.29,0.17,0.22
0188_R.wav,SAD,4.66,SAD,2.15,0.35,0.15,0.2,(F うーん),0.14,0.3,0.31,1.84
0202_R.wav,ACC,3.13,ACC,2.1,0.55,0.5,0.53,そうそうな(D (? ん))そうですよねバイリンガルのとこはそうなんですよね,0.18,0.36,0.37,1.78
0208_R.wav,SUR,0.26,ACC,2.75,0.83,0.68,0.66,<笑>,0.28,0.36,0.28,0.68
