filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0010_R.wav,SUR,-0.04,ACC,3.75,0.83,0.72,0.66,<笑>,0.3,0.19,0.13,2.9
0011_R.wav,ANT,1.58,ANT,0.88,0.64,0.59,0.57,けど私も(F あのー)例えば(D す)(F あのー)ここで録音している学会の(F あの)ビデオとか(D 見)見返してみても,0.19,0.13,0.09,2.87
0043_R.wav,ACC,1.15,JOY,4.19,0.53,0.52,0.47,印象に(D た),0.01,0.03,0.06,2.21
0044_R.wav,DIS,1.97,FEA,0.09,0.49,0.52,0.49,多分(F あのー)多分ポイントポイントを話した方がいいんだろうなとは思ったんですけど,0.04,0.0,0.02,4.1
0065_R.wav,SAD,2.74,ACC,0.63,0.42,0.33,0.34,(F はい),0.19,0.03,0.07,3.12
0086_R.wav,ACC,1.96,ANG,-1.08,0.4,0.42,0.44,(F うー)聞いていたので知識はあったから,0.0,0.06,0.07,2.97
0096_R.wav,ACC,-0.88,ACC,4.71,0.74,0.63,0.58,<笑>,0.19,0.03,0.0,4.4
0097_R.wav,ANT,3.37,SUR,2.48,0.47,0.68,0.61,でやっぱりそうでしょう,0.27,0.05,0.03,2.23
0111_R.wav,ANT,0.34,ACC,2.63,0.7,0.58,0.56,着たとかそういう,0.36,0.18,0.17,2.15
0140_R.wav,ANT,1.99,ACC,1.2,0.64,0.6,0.55,(F いや)そうでもないです全く,0.28,0.49,0.36,3.27
0157_R.wav,ANT,1.6,JOY,3.72,0.82,0.64,0.6,(M だだだだだ)フランス語みたいな感じで,0.2,0.24,0.19,2.88
0158_R.wav,SAD,0.25,SUR,1.14,0.52,0.39,0.29,(D そ),0.3,0.25,0.31,2.58
0163_R.wav,ANT,0.07,ACC,-1.52,0.35,0.47,0.46,先行ってた,0.51,0.26,0.24,3.78
0164_R.wav,ACC,-0.1,SUR,0.78,0.89,0.75,0.72,<笑>,0.54,0.28,0.26,2.3
0212_R.wav,ACC,-1.42,ACC,4.07,0.92,0.78,0.75,<笑>,0.56,0.31,0.27,2.51
0233_R.wav,ACC,2.66,ACC,3.27,0.43,0.39,0.39,(F ええ),0.01,0.24,0.22,2.47
0235_R.wav,ANG,-0.21,SUR,0.51,0.34,0.54,0.54,あの辺の人達は(D なん),0.09,0.15,0.15,2.76
0261_R.wav,ACC,0.17,ACC,0.43,0.68,0.56,0.56,(F ん)だから今日も送っていった後に来てそれで京浜東北線で(D ぬ)ずっと来たからあんな時間になったんですけど,0.3,0.14,0.19,3.09
0268_R.wav,ACC,2.1,ACC,2.24,0.31,0.02,0.11,(F うーん),0.31,0.38,0.34,2.44
0279_R.wav,ANT,2.1,FEA,1.59,0.63,0.5,0.54,ぐらいの,0.03,0.02,0.05,2.11
0303_R.wav,SAD,1.8,ACC,0.81,0.45,0.37,0.42,(D す)(F うーん)やっぱり違うみたいですね,0.14,0.25,0.24,2.18
0311_R.wav,SUR,0.75,ACC,2.03,0.43,0.38,0.32,(F あー),0.08,0.04,0.05,2.21
0335_R.wav,SUR,1.14,SUR,5.82,0.95,0.8,0.77,<笑>,0.32,0.17,0.15,3.98
0336_R.wav,SUR,1.44,SUR,2.85,0.88,0.77,0.73,<笑>,0.07,0.03,0.04,2.97
0347_R.wav,ANT,1.07,FEA,0.03,0.35,0.29,0.31,その辺がやっぱり大変かなと,0.0,0.17,0.11,2.99
0350_R.wav,SAD,2.48,ACC,4.14,0.44,0.33,0.4,そうなんですよね(F うーん),0.37,0.31,0.22,2.93
0353_R.wav,DIS,1.85,DIS,0.33,0.49,0.38,0.4,だから,0.05,0.05,0.0,3.81
0375_R.wav,SUR,2.76,SUR,3.75,0.98,0.81,0.77,<笑>,0.28,0.39,0.32,2.63
0416_R.wav,ACC,4.12,ACC,4.55,0.38,0.23,0.28,(F うーん),0.0,0.36,0.28,2.33
0428_R.wav,ANT,-0.02,ANT,0.93,0.55,0.66,0.61,けど結局(F ま)半年一年たってから(D ひ)(F まー)結局二人で引っ越したんですけどね結局は(F そのー)博士課程にいる間も一緒に暮らして(F ん)広いところで,0.02,0.05,0.09,3.44
0432_R.wav,ACC,2.63,ACC,3.17,0.35,0.54,0.54,(F まー)そうですね,0.2,0.12,0.07,2.24
0458_R.wav,ANT,3.12,SUR,2.68,0.26,-0.0,0.07,(F えーとー),0.08,0.36,0.28,3.32
0460_R.wav,ANT,0.41,ANG,0.02,0.52,0.38,0.41,何かそういう(A ジーアールイー;ＧＲＥ)みたいな一般的なテストがあってそれこっちの(A ジーアールイー;ＧＲＥ)大学院版で,0.22,0.18,0.17,2.05
0474_R.wav,SAD,1.0,ACC,1.19,0.4,0.41,0.42,(F はい),0.0,0.32,0.22,2.92
0476_R.wav,ACC,-0.13,ACC,0.35,0.52,0.46,0.47,<FV>要するに(F その)あたしが探した,0.12,0.17,0.15,2.63
0480_R.wav,FEA,2.71,FEA,2.11,0.48,0.23,0.32,みたいな(D ぶ)学部,0.07,0.13,0.12,2.31
0518_R.wav,ACC,1.47,ACC,2.28,0.41,0.31,0.34,(F あ)そうですね,0.04,0.15,0.08,2.75
0520_R.wav,SAD,0.52,SAD,-0.61,0.33,0.38,0.36,(F はい),0.08,0.07,0.02,2.89
