filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0050_L.wav,SUR,2.87,ACC,6.53,0.39,0.35,0.35,(F ええ)(F ええ),0.01,0.17,0.17,4.12
0094_L.wav,ACC,3.64,ACC,4.89,0.43,0.37,0.36,(F うーん),0.03,0.18,0.19,4.24
0130_L.wav,ANT,0.22,FEA,0.85,0.14,0.24,0.2,(D2 お),0.26,0.04,0.01,5.13
0159_L.wav,ANG,2.61,ANT,-0.4,0.37,0.62,0.6,じゃ最近のはやりじゃないですか,0.05,0.22,0.18,4.86
0230_L.wav,ANT,1.38,SUR,0.77,0.81,0.65,0.6,(F はい)(F はい)(F はい)(F はい),0.46,0.35,0.34,4.46
0238_L.wav,ACC,5.08,ACC,4.56,0.37,0.17,0.18,(F うーん),0.1,0.04,0.02,4.25
0339_L.wav,FEA,4.29,ACC,6.05,0.4,0.08,0.16,そうですよね,0.11,0.43,0.33,4.36
0357_L.wav,ACC,4.61,ACC,4.52,0.36,0.0,0.09,(F うーん),0.05,0.56,0.46,4.15
0377_L.wav,ANT,0.78,ANG,0.85,0.18,0.29,0.39,また大変でしょう小学校入ったら入ったでねきっとね,0.67,0.43,0.26,5.05
0409_L.wav,SAD,5.8,DIS,4.87,0.28,0.17,0.21,(F うーん),0.15,0.44,0.38,4.27
0434_L.wav,ACC,3.88,ACC,5.43,0.34,0.06,0.12,(F うーん),0.13,0.29,0.29,4.49
0479_L.wav,ANT,2.97,ACC,5.59,0.35,0.11,0.16,(F ええ),0.28,0.3,0.31,4.31
0482_L.wav,SAD,2.3,SUR,-0.37,0.46,0.48,0.52,西に多いんですか,0.11,0.37,0.36,5.96
