filename,text,arousal,trend,residual,abs_residual
0038_R.wav,(F うーん),-0.88,0.004000000000000026,-0.884,0.884
0059_R.wav,そうですねそんな感じのことです,-0.74,-0.026666666666666637,-0.7133333333333334,0.7133333333333334
0215_R.wav,(F うん)(F うん),-1.0,-0.12399999999999997,-0.876,0.876
0259_R.wav,(F うーん),-0.9,-0.05599999999999998,-0.8440000000000001,0.8440000000000001
0268_R.wav,(F うーん),-0.96,-0.07866666666666665,-0.8813333333333333,0.8813333333333333
0313_R.wav,<笑>,0.45999999999999996,-0.29066666666666663,0.7506666666666666,0.7506666666666666
0315_R.wav,<笑>,0.5,-0.22666666666666666,0.7266666666666667,0.7266666666666667
0330_R.wav,(F うーん),-0.8200000000000001,0.036,-0.8560000000000001,0.8560000000000001
0375_R.wav,<笑>,0.6200000000000001,-0.17200000000000001,0.7920000000000001,0.7920000000000001
0402_R.wav,<笑>,0.56,-0.16133333333333336,0.7213333333333334,0.7213333333333334
0418_R.wav,(F うーん),-0.74,-0.012000000000000033,-0.728,0.728
0454_R.wav,(F うーん),-0.86,-0.12133333333333332,-0.7386666666666667,0.7386666666666667
0458_R.wav,(F えーとー),-1.0,-0.21466666666666664,-0.7853333333333333,0.7853333333333333
